Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-28,377.47,378.1986,372.99,373.04,23449488,0.0
2020-07-29,375,380.92,374.85,380.27,20387893,0.0
2020-07-30,376.75,385.19,375.07,384.88,29577510,0.0
2020-07-31,411.535,425.66,403.3,425.19,86571262,0.0
2020-08-03,432.8,446.5457,431.57,435.66,73177065,0.0
2020-08-04,436.53,443.16,433.55,438.81,40871187,0.0
2020-08-05,437.51,441.57,435.59,440.339,27357431,0.0
2020-08-06,441.62,457.65,439.19,455.88,47874024,0.0
2020-08-07,452.82,454.7,441.17,444.41,45586418,0.0
2020-08-10,450.4,455.1,440,450.94,50240981,0.0
2020-08-11,447.875,449.93,436.4267,437.51,42121338,0.0
2020-08-12,441.99,453.1,441.19,452.24,38649102,0.0
2020-08-13,457.72,464.17,455.71,460.03,48059064,0.0
2020-08-14,459.315,460,452.18,459.78,38149232,0.0
2020-08-17,464.25,464.35,455.8501,458.39,25935894,0.0
2020-08-18,457.41,464,456.03,462.08,24276411,0.0
2020-08-19,463.933,468.65,462.44,462.825,33874948,0.0
2020-08-20,463,473.568,462.9335,472.83,29389880,0.0
2020-08-21,477.05,499.472,477,497.4,79453112,0.0
2020-08-24,505.625,514.7809,495.745,503.79,57811323,0.0
2020-08-25,498.79,500.7172,492.21,499.31,49446300,0.0
2020-08-26,504.7165,507.97,500.33,506.19,37949023,0.0
2020-08-27,508.57,509.94,495.33,500.04,36319905,0.0
2020-08-28,504.05,505.77,498.31,498.83,38201316,0.0
2020-08-31,127.58,131,126,128.85,199136542,0.0
2020-09-01,132.76,134.8,130.53,134.2,138233208,0.0
2020-09-02,137.59,137.98,127,131.22,184800962,0.0
2020-09-03,126.91,128.84,120.5,120.92,227958928,0.0
2020-09-04,120.07,123.7,110.89,120.9,308854725,0.0
2020-09-08,113.95,118.99,112.68,112.83,207475295,0.0
2020-09-09,117.26,119.14,115.26,117.18,154399690,0.0
2020-09-10,118.454,120.05,112.5,113.48,146121064,0.0
2020-09-11,114.57,115.23,110,112.01,168935205,0.0
2020-09-14,114.72,115.93,112.8,115.3599,123181741,0.0
2020-09-15,118.33,118.829,113.61,115.55,171609548,0.0
2020-09-16,115.23,116,112.04,112.13,142859370,0.0
2020-09-17,109.72,112.2,108.71,110.32,159638807,0.0
2020-09-18,110.4,110.88,106.09,106.6,208107357,0.0
2020-09-21,104.54,110.19,103.1,110.13,178442044,0.0
2020-09-22,112.68,112.86,109.16,111.8,166977998,0.0
2020-09-23,111.62,112.11,106.77,107.23,131794926,0.0
2020-09-24,105.17,110.25,105,108.2015,152123922,0.0
2020-09-25,108.43,112.44,107.67,112.28,137542199,0.0
2020-09-28,114.98,115.32,112.78,115,119572328,0.0
2020-09-29,114.55,115.31,113.57,114.11,89125872,0.0
2020-09-30,113.77,117.25,113.62,115.61,115978209,0.0
2020-10-01,117.64,117.72,115.83,116.8,97249509,0.0
2020-10-02,112.89,115.37,112.22,113.02,122250383,0.0
2020-10-05,113.92,116.65,113.55,116.54,93846463,0.0
2020-10-06,115.7,116.12,112.25,113.16,142211773,0.0
2020-10-07,114.62,115.51,114.13,115.05,84487218,0.0
2020-10-08,116.27,116.4,114.5901,114.97,74393532,0.0
2020-10-09,115.28,117,114.92,116.98,86041259,0.0
2020-10-12,120.06,125.18,119.2845,124.42,214339341,0.0
2020-10-13,124.53,124.74,119.65,121.05,235482931,0.0
2020-10-14,120.99,123.03,119.62,121.29,134225383,0.0
2020-10-15,118.72,121.2,118.15,120.7453,97188922,0.0
2020-10-16,121.28,121.548,118.81,118.96,101036728,0.0
2020-10-19,119.96,120.419,115.66,116,102829828,0.0
2020-10-20,116.19,118.98,115.63,117.5,108602099,0.0
2020-10-21,116.67,118.46,116.45,116.86,64582162,0.0
2020-10-22,117.45,118.04,114.59,115.7737,90166742,0.0
2020-10-23,116.39,116.55,114.28,115.04,73191875,0.0
2020-10-26,114.01,116.55,112.88,115.06,94591584,0.0
2020-10-27,115.49,117.28,114.5399,116.53,80663462,0.0
2020-10-28,115.05,115.43,111.1,111.15,123242639,0.0
2020-10-29,112.37,116.93,112.2,114.52,111552689,0.0
2020-10-30,111.06,111.99,107.72,108.9,163824978,0.0
2020-11-02,109.11,110.68,107.32,108.77,106260834,0.0
2020-11-03,109.66,111.47,108.73,110.375,93660131,0.0
2020-11-04,114.14,115.59,112.35,114.94,114505478,0.0
2020-11-05,117.99,119.62,116.8686,118.99,107993032,0.0
2020-11-06,118.32,119.2,116.13,118.685,99225280,0.0
2020-11-09,120.5,121.99,116.05,116.32,129352953,0.0
2020-11-10,115.55,117.59,114.13,115.97,114408580,0.0
2020-11-11,117.19,119.63,116.44,119.51,101073157,0.0
2020-11-12,119.62,120.53,118.57,119.235,89318148,0.0
2020-11-13,119.44,119.6717,117.87,119.49,65270429,0.0
2020-11-16,118.92,120.99,118.146,120.35,82097057,0.0
2020-11-17,119.55,120.6741,118.96,119.36,66758426,0.0
2020-11-18,118.61,119.82,118,118,66333033,0.0
2020-11-19,117.59,119.06,116.81,118.64,67716820,0.0
2020-11-20,118.64,118.77,117.29,117.32,66641286,0.0
2020-11-23,117.18,117.6202,113.75,113.88,118772957,0.0
2020-11-24,113.91,115.85,112.59,115.17,103428825,0.0
2020-11-25,115.55,116.75,115.17,116.02,68910636,0.0
2020-11-27,116.57,117.49,116.22,116.6,43035501,0.0
2020-11-30,116.97,120.97,116.81,119.06,131494491,0.0
2020-12-01,121.01,123.4693,120.01,122.7,115221944,0.0
2020-12-02,122.02,123.37,120.89,123.08,75619249,0.0
2020-12-03,123.52,123.78,122.21,122.94,67399458,0.0
2020-12-04,122.6,122.8608,121.52,122.24,65287653,0.0
2020-12-07,122.31,124.57,122.25,123.8,72463180,0.0
2020-12-08,124.37,124.98,123.09,124.33,69695298,0.0
2020-12-09,124.53,125.95,121,121.67,99218318,0.0
2020-12-10,120.5,123.87,120.15,123.22,70011939,0.0
2020-12-11,122.43,122.76,120.55,122.49,75289233,0.0
2020-12-14,122.6,123.35,121.55,121.77,65119346,0.0
2020-12-15,124.34,127.9,124.13,127.89,140585059,0.0
2020-12-16,127.41,128.37,126.56,127.75,84637825,0.0
2020-12-17,128.9,129.58,128.045,128.65,76704353,0.0
2020-12-18,128.96,129.1,126.12,126.65,109773113,0.0
2020-12-21,125.02,128.31,123.449,128.24,99115677,0.0
2020-12-22,131.61,134.405,129.65,131.845,156846263,0.0
2020-12-23,132.16,132.43,130.78,130.96,76023894,0.0
2020-12-24,131.32,133.46,131.1,131.99,51675667,0.0
2020-12-28,133.99,137.34,133.51,136.73,116008068,0.0
2020-12-29,138.05,138.789,134.3409,134.93,114407189,0.0
2020-12-30,135.58,135.99,133.4,133.72,87788124,0.0
2020-12-31,134.08,134.74,131.72,132.58,86901528,0.0
2021-01-04,133.52,133.6116,126.76,129.41,123353442,0.0
2021-01-05,128.89,131.74,128.43,130.95,85139362,0.0
2021-01-06,127.72,131.0499,126.382,126.58,142064548,0.0
2021-01-07,128.36,131.63,127.86,130.85,95314687,0.0
2021-01-08,132.43,132.63,130.23,131.99,93211863,0.0
2021-01-11,129.19,130.17,128.5,128.98,84845947,0.0
2021-01-12,128.5,129.69,126.86,128.8199,83381829,0.0
2021-01-13,128.76,131.45,128.49,130.89,77928722,0.0
2021-01-14,130.8,131,128.76,128.92,78672922,0.0
2021-01-15,128.78,130.2242,127,127.07,97478662,0.0
2021-01-19,127.78,128.71,126.938,127.82,77372754,0.0
2021-01-20,128.66,132.49,128.55,131.97,90745056,0.0
2021-01-21,133.8,139.67,133.59,136.87,107349916,0.0
2021-01-22,136.28,139.85,135.02,138.9699,104455613,0.0
2021-01-25,143.07,145.09,136.54,142.9,142335837,0.0
2021-01-26,143.6,144.3,141.37,143.185,85816874,0.0
2021-01-27,143.43,144.3,140.41,142.53,110342303,0.0
2021-01-28,139.52,141.99,136.7,137.04,127192871,0.0
2021-01-29,135.83,136.74,130.21,131.83,162479747,0.0
2021-02-01,133.75,135.38,130.93,134.1,96660055,0.0
2021-02-02,135.73,136.31,134.61,134.98,73079171,0.0
2021-02-03,135.76,135.77,133.61,133.9,76952077,0.0
2021-02-04,136.3,137.4,134.59,137.4,71745898,0.0
2021-02-05,137.35,137.42,135.86,136.77,69111348,0.0
2021-02-08,136.03,136.96,134.92,136.9007,63184550,0.0
2021-02-09,136.62,137.877,135.85,136,70140432,0.0
2021-02-10,136.48,136.99,134.4,135.36,66856066,0.0
2021-02-11,135.9,136.39,133.77,135.12,59377028,0.0
2021-02-12,134.35,135.53,133.6921,135.38,54861442,0.0
2021-02-16,135.49,136.01,132.79,133.16,72596290,0.0
2021-02-17,131.25,132.22,129.47,130.84,92298227,0.0
2021-02-18,129.2,129.995,127.41,129.7127,90601312,0.0
2021-02-19,130.24,130.71,128.8,129.85,79579496,0.0
2021-02-22,128.01,129.72,125.6,126.01,93993093,0.0
2021-02-23,123.76,126.71,118.39,125.85,148286878,0.0
2021-02-24,124.94,125.56,122.23,125.32,102399167,0.0
2021-02-25,124.68,126.4585,120.54,121,134693926,0.0
2021-02-26,122.59,124.85,121.2,121.2,135693674,0.0
2021-03-01,123.75,127.93,122.79,127.79,104597017,0.0
2021-03-02,128.41,128.72,125.01,125.1601,91481050,0.0
2021-03-03,124.81,125.71,121.84,122.06,99851557,0.0
2021-03-04,121.75,123.6,118.62,120.22,160007520,0.0
2021-03-05,120.98,121.935,117.57,121.39,143229410,0.0
2021-03-08,120.93,121,116.21,116.4,141360327,0.0
2021-03-09,119.03,122.06,118.79,121.08,113086734,0.0
2021-03-10,121.69,122.17,119.45,119.97,104275213,0.0
2021-03-11,122.54,123.21,121.26,121.95,93149616,0.0
2021-03-12,120.4,121.17,119.16,121.05,82228604,0.0
2021-03-15,121.41,124,120.42,124,79200260,0.0
2021-03-16,125.7,127.22,124.715,125.57,107714542,0.0
2021-03-17,124.05,125.8599,122.336,124.8,85394195,0.0
2021-03-18,122.88,123.18,120.32,120.55,110362637,0.0
2021-03-19,119.9,121.43,119.675,119.87,114176811,0.0
2021-03-22,120.33,123.87,120.26,123.37,92770909,0.0
2021-03-23,123.33,124.24,122.14,122.54,84866804,0.0
2021-03-24,122.82,122.9,120.065,120.07,78976998,0.0
2021-03-25,119.54,121.66,119,120.6,89046223,0.0
2021-03-26,120.35,121.48,118.92,121.21,79352046,0.0
2021-03-29,121.65,122.58,120.7299,121.38,70437310,0.0
2021-03-30,120.11,120.4031,118.86,119.98,77064981,0.0
2021-03-31,121.65,123.52,121.15,122.0928,93674763,0.0
2021-04-01,123.65,124.18,122.49,123,65453729,0.0
2021-04-05,123.87,126.1601,123.07,125.9001,79312943,0.0
2021-04-06,126.5,127.13,125.65,126.23,70316590,0.0
2021-04-07,125.83,127.92,125.14,127.91,75522014,0.0
2021-04-08,128.95,130.39,128.52,130.37,80194739,0.0
2021-04-09,129.8,133.04,129.47,133,94171787,0.0
2021-04-12,132.52,132.85,130.63,131.27,76736165,0.0
2021-04-13,132.44,134.66,131.93,134.41,81422552,0.0
2021-04-14,134.93,135,131.655,132.14,76161992,0.0
2021-04-15,133.82,134.99,133.64,134.49,75403037,0.0
2021-04-16,134.3,134.67,133.28,134.15,69430878,0.0
2021-04-19,133.47,135.47,133.34,134.921,75188772,0.0
2021-04-20,135.02,135.53,131.81,133.12,87132183,0.0
2021-04-21,132.39,133.75,131.3001,133.49,61120083,0.0
2021-04-22,132.86,134.15,131.41,131.94,75471079,0.0
2021-04-23,132.19,135.12,132.16,134.31,68991856,0.0
2021-04-26,134.83,135.06,133.56,134.73,56214327,0.0
2021-04-27,135.06,135.41,134.11,134.39,58753666,0.0
2021-04-28,134.29,135.02,133.08,133.7801,80514624,0.0
2021-04-29,136.47,137.07,132.45,133.48,140513376,0.0
2021-04-30,131.8,133.56,131.065,131.53,96118913,0.0
2021-05-03,132.01,134.07,131.83,132.5563,67091433,0.0
2021-05-04,131.18,131.4899,126.7,127.96,120921447,0.0
2021-05-05,129.21,130.45,127.97,128.16,75396509,0.0
2021-05-06,127.9,129.75,127.13,129.73,69126356,0.0
2021-05-07,130.84,131.2582,129.475,130.2,67281343,0.0
2021-05-10,129.4,129.54,126.81,126.86,76030609,0.0
2021-05-11,123.5,126.27,122.77,125.85,112319323,0.0
2021-05-12,123.52,124.64,122.25,122.82,94495922,0.0
